timestamp,pair,direction,confidence,qualityScore,strategy,entryPrice,expiryPrice,won,session,weekday,utcHour,noTradeReason,callWouldWin,putWouldWin
2026-07-15T07:21:00.000Z,EUR/USD,WAIT,0,0,No Setup Detected,1.14262,1.14247,,Asian,Wed,7,"Insufficient indicator alignment",false,true
2026-07-15T07:22:00.000Z,EUR/USD,WAIT,0,0,No Setup Detected,1.14259,1.14239,,Asian,Wed,7,"Insufficient indicator alignment",false,true
2026-07-15T07:23:00.000Z,EUR/USD,WAIT,0,0,No Setup Detected,1.14244,1.14237,,Asian,Wed,7,"Insufficient indicator alignment",false,true
2026-07-15T07:24:00.000Z,EUR/USD,WAIT,0,0,No Setup Detected,1.1424,1.1424,,Asian,Wed,7,"Insufficient indicator alignment",false,false
2026-07-15T07:25:00.000Z,EUR/USD,WAIT,0,0,No Setup Detected,1.1424,1.1423,,Asian,Wed,7,"Insufficient indicator alignment",false,true
2026-07-15T07:26:00.000Z,EUR/USD,WAIT,0,0,No Setup Detected,1.14238,1.14211,,Asian,Wed,7,"Insufficient indicator alignment",false,true
2026-07-15T07:27:00.000Z,EUR/USD,WAIT,0,0,No Setup Detected,1.14226,1.14207,,Asian,Wed,7,"Insufficient indicator alignment",false,true
2026-07-15T07:28:00.000Z,EUR/USD,WAIT,0,0,No Setup Detected,1.14211,1.14218,,Asian,Wed,7,"Insufficient indicator alignment",true,false
2026-07-15T07:29:00.000Z,EUR/USD,WAIT,0,0,No Setup Detected,1.14214,1.14225,,Asian,Wed,7,"Insufficient indicator alignment",true,false
2026-07-15T07:30:00.000Z,EUR/USD,PUT,53,80,Trend Corridor Breakout,1.14219,1.1423,false,Asian,Wed,7,"",,
2026-07-15T07:31:00.000Z,EUR/USD,PUT,53,80,Trend Corridor Breakout,1.14225,1.14238,false,Asian,Wed,7,"",,
2026-07-15T07:32:00.000Z,EUR/USD,PUT,53,80,Trend Corridor Breakout,1.14232,1.14243,false,Asian,Wed,7,"",,
2026-07-15T07:33:00.000Z,EUR/USD,WAIT,0,0,No Setup Detected,1.14237,1.14246,,Asian,Wed,7,"Insufficient indicator alignment",true,false
2026-07-15T07:34:00.000Z,EUR/USD,WAIT,0,0,No Setup Detected,1.14242,1.14228,,Asian,Wed,7,"Insufficient indicator alignment",false,true
2026-07-15T07:35:00.000Z,EUR/USD,PUT,64,90,Trend Corridor Breakout,1.14237,1.14222,true,Asian,Wed,7,"",,
2026-07-15T07:36:00.000Z,EUR/USD,PUT,66,90,Trend Corridor Breakout,1.14226,1.14221,true,Asian,Wed,7,"",,
2026-07-15T07:37:00.000Z,EUR/USD,PUT,52,90,Trend Corridor Breakout,1.14224,1.1423,false,Asian,Wed,7,"",,
2026-07-15T07:38:00.000Z,EUR/USD,WAIT,0,0,No Setup Detected,1.14228,1.14227,,Asian,Wed,7,"Insufficient indicator alignment",false,true
2026-07-15T07:39:00.000Z,EUR/USD,WAIT,0,0,No Setup Detected,1.14228,1.14232,,Asian,Wed,7,"Insufficient indicator alignment",true,false
2026-07-15T07:40:00.000Z,EUR/USD,WAIT,0,0,No Setup Detected,1.14229,1.14232,,Asian,Wed,7,"Insufficient indicator alignment",true,false
2026-07-15T07:41:00.000Z,EUR/USD,WAIT,0,0,No Setup Detected,1.14231,1.14224,,Asian,Wed,7,"Insufficient indicator alignment",false,true
2026-07-15T07:42:00.000Z,EUR/USD,PUT,54,90,Trend Corridor Breakout,1.14228,1.14219,true,Asian,Wed,7,"",,
2026-07-15T07:43:00.000Z,EUR/USD,PUT,63,90,Trend Corridor Breakout,1.14224,1.14232,false,Asian,Wed,7,"",,
2026-07-15T07:44:00.000Z,EUR/USD,WAIT,0,0,No Setup Detected,1.14229,1.14238,,Asian,Wed,7,"Insufficient indicator alignment",true,false
2026-07-15T07:45:00.000Z,EUR/USD,WAIT,0,0,No Setup Detected,1.14234,1.14237,,Asian,Wed,7,"Insufficient indicator alignment",true,false
2026-07-15T07:46:00.000Z,EUR/USD,WAIT,0,0,No Setup Detected,1.14236,1.14225,,Asian,Wed,7,"Insufficient indicator alignment",false,true
2026-07-15T07:47:00.000Z,EUR/USD,PUT,61,90,Trend Corridor Breakout,1.14233,1.14225,true,Asian,Wed,7,"",,
2026-07-15T07:48:00.000Z,EUR/USD,WAIT,0,0,No Setup Detected,1.14228,1.1424,,Asian,Wed,7,"Insufficient indicator alignment",true,false
2026-07-15T07:49:00.000Z,EUR/USD,WAIT,0,0,No Setup Detected,1.14234,1.14244,,Asian,Wed,7,"Insufficient indicator alignment",true,false
2026-07-15T07:50:00.000Z,EUR/USD,WAIT,0,0,No Setup Detected,1.14241,1.14244,,Asian,Wed,7,"Insufficient indicator alignment",true,false
2026-07-15T07:51:00.000Z,EUR/USD,WAIT,0,0,No Setup Detected,1.14241,1.14231,,Asian,Wed,7,"Insufficient indicator alignment",false,true
2026-07-15T07:52:00.000Z,EUR/USD,PUT,68,95,Trend Corridor Breakout,1.14238,1.14238,false,Asian,Wed,7,"",,
2026-07-15T07:53:00.000Z,EUR/USD,WAIT,0,0,No Setup Detected,1.14234,1.14247,,Asian,Wed,7,"Insufficient indicator alignment",true,false
2026-07-15T07:54:00.000Z,EUR/USD,PUT,53,80,Trend Corridor Breakout,1.14242,1.14248,false,Asian,Wed,7,"",,
2026-07-15T07:55:00.000Z,EUR/USD,WAIT,0,0,No Setup Detected,1.14244,1.14251,,Asian,Wed,7,"Insufficient indicator alignment",true,false
2026-07-15T07:56:00.000Z,EUR/USD,WAIT,0,0,No Setup Detected,1.14249,1.14238,,Asian,Wed,7,"Insufficient indicator alignment",false,true
2026-07-15T07:57:00.000Z,EUR/USD,PUT,68,95,Trend Corridor Breakout,1.14247,1.14238,true,Asian,Wed,7,"",,
2026-07-15T07:58:00.000Z,EUR/USD,PUT,61,95,Trend Corridor Breakout,1.1424,1.14231,true,Asian,Wed,7,"",,
2026-07-15T07:59:00.000Z,EUR/USD,PUT,63,90,Trend Corridor Breakout,1.14237,1.14232,true,London,Wed,8,"",,
2026-07-15T08:00:00.000Z,EUR/USD,WAIT,0,0,No Setup Detected,1.14232,1.14246,,London,Wed,8,"Insufficient indicator alignment",true,false
2026-07-15T08:01:00.000Z,EUR/USD,WAIT,0,0,No Setup Detected,1.14239,1.14257,,London,Wed,8,"Insufficient indicator alignment",true,false
2026-07-15T08:02:00.000Z,EUR/USD,WAIT,0,0,No Setup Detected,1.14244,1.1427,,London,Wed,8,"Insufficient indicator alignment",true,false
2026-07-15T08:03:00.000Z,EUR/USD,CALL,63,90,Trend Corridor Breakout,1.14264,1.14273,true,London,Wed,8,"",,
2026-07-15T08:04:00.000Z,EUR/USD,CALL,63,90,Trend Corridor Breakout,1.1427,1.14274,true,London,Wed,8,"",,
2026-07-15T08:05:00.000Z,EUR/USD,CALL,54,90,Trend Corridor Breakout,1.14271,1.14273,true,London,Wed,8,"",,
2026-07-15T08:06:00.000Z,EUR/USD,CALL,52,85,Trend Corridor Breakout,1.14271,1.14256,false,London,Wed,8,"",,
2026-07-15T08:07:00.000Z,EUR/USD,CALL,56,80,Trend Corridor Breakout,1.14266,1.14247,false,London,Wed,8,"",,
2026-07-15T08:08:00.000Z,EUR/USD,CALL,54,75,Trend Corridor Breakout,1.14254,1.14239,false,London,Wed,8,"",,
2026-07-15T08:09:00.000Z,EUR/USD,WAIT,0,0,No Setup Detected,1.14246,1.14231,,London,Wed,8,"Insufficient indicator alignment",false,true
2026-07-15T08:10:00.000Z,EUR/USD,WAIT,0,0,No Setup Detected,1.14237,1.14226,,London,Wed,8,"Insufficient indicator alignment",false,true
2026-07-15T08:11:00.000Z,EUR/USD,CALL,53,80,Trend Corridor Breakout,1.14229,1.14235,true,London,Wed,8,"",,
2026-07-15T08:12:00.000Z,EUR/USD,CALL,52,90,Trend Corridor Breakout,1.14232,1.14234,true,London,Wed,8,"",,
2026-07-15T08:13:00.000Z,EUR/USD,CALL,51,80,Trend Corridor Breakout,1.14231,1.14234,true,London,Wed,8,"",,
